parent_a,parent_b,labels_a,labels_b,a_per_class,b_per_class,a_per_task,b_per_task,child_joint,child_per_task,child_task_a,child_task_b,child_per_class,saved_joint,saved_per_task,merging_fn,population,bn_reset,stop_node,time_s
88ed44d1,905afff7,3_6_7,3_5_6,"[0.0, 0.0, 0.0, 0.1810000091791153, 0.0, 0.0, 0.9600000381469727, 0.1340000033378601, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.08700000494718552, 0.0, 0.026000000536441803, 0.9790000319480896, 0.0, 0.0, 0.0]",0.42500004172325134,0.36399999260902405,0.30275,0.38783333333333336,0.405,0.37066666666666664,"[null, null, null, 0.108, null, 0.026, 0.978, 0.129, null, null]",0.3195,0.4625,match_tensors_permute,runs_exp2d/seed0/population,True,21,69.8
88ed44d1,be2e50e9,3_6_7,3_6_7,"[0.0, 0.0, 0.0, 0.1810000091791153, 0.0, 0.0, 0.9600000381469727, 0.1340000033378601, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.26100000739097595, 0.0, 0.0, 0.9020000696182251, 0.34200000762939453, 0.0, 0.0]",0.42500004172325134,0.5016667246818542,0.4673333333333333,0.508,0.508,0.508,"[null, null, null, 0.258, null, null, 0.903, 0.363, null, null]",0.456,0.4603333333333333,match_tensors_permute,runs_exp2d/seed0/population,True,21,71.6
88ed44d1,cb3a86af,3_6_7,1_6_7,"[0.0, 0.0, 0.0, 0.1810000091791153, 0.0, 0.0, 0.9600000381469727, 0.1340000033378601, 0.0, 0.0]","[0.0, 0.5400000214576721, 0.0, 0.0, 0.0, 0.0, 0.9630000591278076, 0.28700000047683716, 0.0, 0.0]",0.42500004172325134,0.5966666340827942,0.4255,0.5246666666666666,0.472,0.5773333333333334,"[null, 0.492, null, 0.176, null, null, 0.966, 0.274, null, null]",0.36675,0.534,match_tensors_permute,runs_exp2d/seed0/population,True,21,72.6
88ed44d1,d8bd0bc0,3_6_7,4_5_7,"[0.0, 0.0, 0.0, 0.1810000091791153, 0.0, 0.0, 0.9600000381469727, 0.1340000033378601, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.6810000538825989, 0.64000004529953, 0.0, 0.12700000405311584, 0.0, 0.0]",0.42500004172325134,0.4826667010784149,0.2934,0.4438333333333333,0.417,0.4706666666666667,"[null, null, null, 0.15, 0.67, 0.61, 0.969, 0.132, null, null]",0.2826,0.5346666666666666,match_tensors_permute,runs_exp2d/seed0/population,True,21,73.0
88ed44d1,e1762771,3_6_7,1_2_4,"[0.0, 0.0, 0.0, 0.1810000091791153, 0.0, 0.0, 0.9600000381469727, 0.1340000033378601, 0.0, 0.0]","[0.0, 0.5320000052452087, 0.11600000411272049, 0.0, 0.9160000681877136, 0.0, 0.0, 0.0, 0.0, 0.0]",0.42500004172325134,0.5213333964347839,0.2831666666666667,0.4665,0.419,0.514,"[null, 0.506, 0.122, 0.154, 0.914, null, 0.965, 0.138, null, null]",0.222,0.4036666666666667,match_tensors_permute,runs_exp2d/seed0/population,True,21,73.6
905afff7,be2e50e9,3_5_6,3_6_7,"[0.0, 0.0, 0.0, 0.08700000494718552, 0.0, 0.026000000536441803, 0.9790000319480896, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.26100000739097595, 0.0, 0.0, 0.9020000696182251, 0.34200000762939453, 0.0, 0.0]",0.36399999260902405,0.5016667246818542,0.33725,0.4455,0.38866666666666666,0.5023333333333333,"[null, null, null, 0.237, null, 0.017, 0.912, 0.358, null, null]",0.29225,0.4046666666666667,match_tensors_permute,runs_exp2d/seed0/population,True,21,72.1
905afff7,cb3a86af,3_5_6,1_6_7,"[0.0, 0.0, 0.0, 0.08700000494718552, 0.0, 0.026000000536441803, 0.9790000319480896, 0.0, 0.0, 0.0]","[0.0, 0.5400000214576721, 0.0, 0.0, 0.0, 0.0, 0.9630000591278076, 0.28700000047683716, 0.0, 0.0]",0.36399999260902405,0.5966666340827942,0.3356,0.46900000000000003,0.3596666666666667,0.5783333333333334,"[null, 0.498, null, 0.093, null, 0.019, 0.967, 0.27, null, null]",0.2,0.37183333333333335,match_tensors_permute,runs_exp2d/seed0/population,True,21,72.6
905afff7,d8bd0bc0,3_5_6,4_5_7,"[0.0, 0.0, 0.0, 0.08700000494718552, 0.0, 0.026000000536441803, 0.9790000319480896, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.6810000538825989, 0.64000004529953, 0.0, 0.12700000405311584, 0.0, 0.0]",0.36399999260902405,0.4826667010784149,0.2912,0.5125,0.555,0.47,"[null, null, null, 0.071, 0.673, 0.61, 0.984, 0.127, null, null]",0.2562,0.5208333333333334,match_tensors_permute,runs_exp2d/seed0/population,True,21,72.4
905afff7,e1762771,3_5_6,1_2_4,"[0.0, 0.0, 0.0, 0.08700000494718552, 0.0, 0.026000000536441803, 0.9790000319480896, 0.0, 0.0, 0.0]","[0.0, 0.5320000052452087, 0.11600000411272049, 0.0, 0.9160000681877136, 0.0, 0.0, 0.0, 0.0, 0.0]",0.36399999260902405,0.5213333964347839,0.286,0.4381666666666667,0.36033333333333334,0.516,"[null, 0.511, 0.122, 0.088, 0.915, 0.011, 0.982, null, null, null]",0.20516666666666666,0.30433333333333334,match_tensors_permute,runs_exp2d/seed0/population,True,21,73.2
be2e50e9,cb3a86af,3_6_7,1_6_7,"[0.0, 0.0, 0.0, 0.26100000739097595, 0.0, 0.0, 0.9020000696182251, 0.34200000762939453, 0.0, 0.0]","[0.0, 0.5400000214576721, 0.0, 0.0, 0.0, 0.0, 0.9630000591278076, 0.28700000047683716, 0.0, 0.0]",0.5016667246818542,0.5966666340827942,0.41425,0.534,0.493,0.575,"[null, 0.495, null, 0.249, null, null, 0.96, 0.27, null, null]",0.3945,0.5626666666666666,match_tensors_permute,runs_exp2d/seed0/population,True,21,72.1
