parent_a,parent_b,labels_a,labels_b,a_per_class,b_per_class,a_per_task,b_per_task,child_joint,child_per_task,child_task_a,child_task_b,child_per_class,merging_fn,population,bn_reset,stop_node,time_s
88ed44d1,905afff7,3_6_7,3_5_6,"[0.0, 0.0, 0.0, 0.1810000091791153, 0.0, 0.0, 0.9600000381469727, 0.1340000033378601, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.08700000494718552, 0.0, 0.026000000536441803, 0.9790000319480896, 0.0, 0.0, 0.0]",0.42500004172325134,0.36399999260902405,0.3185,0.4361666666666667,0.468,0.4043333333333333,"[null, null, null, 0.274, null, 0.004, 0.935, 0.195, null, null]",match_tensors_permute,runs_exp2d/seed0/population,True,63,54.8
88ed44d1,be2e50e9,3_6_7,3_6_7,"[0.0, 0.0, 0.0, 0.1810000091791153, 0.0, 0.0, 0.9600000381469727, 0.1340000033378601, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.26100000739097595, 0.0, 0.0, 0.9020000696182251, 0.34200000762939453, 0.0, 0.0]",0.42500004172325134,0.5016667246818542,0.477,0.5053333333333333,0.5053333333333333,0.5053333333333333,"[null, null, null, 0.362, null, null, 0.845, 0.309, null, null]",match_tensors_permute,runs_exp2d/seed0/population,True,63,54.4
88ed44d1,cb3a86af,3_6_7,1_6_7,"[0.0, 0.0, 0.0, 0.1810000091791153, 0.0, 0.0, 0.9600000381469727, 0.1340000033378601, 0.0, 0.0]","[0.0, 0.5400000214576721, 0.0, 0.0, 0.0, 0.0, 0.9630000591278076, 0.28700000047683716, 0.0, 0.0]",0.42500004172325134,0.5966666340827942,0.41575,0.538,0.501,0.575,"[null, 0.392, null, 0.17, null, null, 0.931, 0.402, null, null]",match_tensors_permute,runs_exp2d/seed0/population,True,63,54.9
88ed44d1,d8bd0bc0,3_6_7,4_5_7,"[0.0, 0.0, 0.0, 0.1810000091791153, 0.0, 0.0, 0.9600000381469727, 0.1340000033378601, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.6810000538825989, 0.64000004529953, 0.0, 0.12700000405311584, 0.0, 0.0]",0.42500004172325134,0.4826667010784149,0.3016,0.4331666666666667,0.42533333333333334,0.441,"[null, null, null, 0.206, 0.426, 0.777, 0.95, 0.12, null, null]",match_tensors_permute,runs_exp2d/seed0/population,True,63,55.0
88ed44d1,e1762771,3_6_7,1_2_4,"[0.0, 0.0, 0.0, 0.1810000091791153, 0.0, 0.0, 0.9600000381469727, 0.1340000033378601, 0.0, 0.0]","[0.0, 0.5320000052452087, 0.11600000411272049, 0.0, 0.9160000681877136, 0.0, 0.0, 0.0, 0.0, 0.0]",0.42500004172325134,0.5213333964347839,0.25783333333333336,0.46199999999999997,0.44466666666666665,0.47933333333333333,"[null, 0.404, 0.285, 0.241, 0.749, null, 0.924, 0.169, null, null]",match_tensors_permute,runs_exp2d/seed0/population,True,63,55.3
905afff7,be2e50e9,3_5_6,3_6_7,"[0.0, 0.0, 0.0, 0.08700000494718552, 0.0, 0.026000000536441803, 0.9790000319480896, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.26100000739097595, 0.0, 0.0, 0.9020000696182251, 0.34200000762939453, 0.0, 0.0]",0.36399999260902405,0.5016667246818542,0.35475,0.45516666666666666,0.385,0.5253333333333333,"[null, null, null, 0.25, null, 0.011, 0.894, 0.432, null, null]",match_tensors_permute,runs_exp2d/seed0/population,True,63,54.9
905afff7,cb3a86af,3_5_6,1_6_7,"[0.0, 0.0, 0.0, 0.08700000494718552, 0.0, 0.026000000536441803, 0.9790000319480896, 0.0, 0.0, 0.0]","[0.0, 0.5400000214576721, 0.0, 0.0, 0.0, 0.0, 0.9630000591278076, 0.28700000047683716, 0.0, 0.0]",0.36399999260902405,0.5966666340827942,0.325,0.4708333333333333,0.38266666666666665,0.559,"[null, 0.394, null, 0.206, null, 0.0, 0.942, 0.341, null, null]",match_tensors_permute,runs_exp2d/seed0/population,True,63,55.1
905afff7,d8bd0bc0,3_5_6,4_5_7,"[0.0, 0.0, 0.0, 0.08700000494718552, 0.0, 0.026000000536441803, 0.9790000319480896, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.6810000538825989, 0.64000004529953, 0.0, 0.12700000405311584, 0.0, 0.0]",0.36399999260902405,0.4826667010784149,0.301,0.5175000000000001,0.5803333333333334,0.45466666666666666,"[null, null, null, 0.17, 0.614, 0.6, 0.971, 0.15, null, null]",match_tensors_permute,runs_exp2d/seed0/population,True,63,55.0
905afff7,e1762771,3_5_6,1_2_4,"[0.0, 0.0, 0.0, 0.08700000494718552, 0.0, 0.026000000536441803, 0.9790000319480896, 0.0, 0.0, 0.0]","[0.0, 0.5320000052452087, 0.11600000411272049, 0.0, 0.9160000681877136, 0.0, 0.0, 0.0, 0.0, 0.0]",0.36399999260902405,0.5213333964347839,0.278,0.435,0.394,0.476,"[null, 0.367, 0.241, 0.23, 0.82, 0.002, 0.95, null, null, null]",match_tensors_permute,runs_exp2d/seed0/population,True,63,55.4
be2e50e9,cb3a86af,3_6_7,1_6_7,"[0.0, 0.0, 0.0, 0.26100000739097595, 0.0, 0.0, 0.9020000696182251, 0.34200000762939453, 0.0, 0.0]","[0.0, 0.5400000214576721, 0.0, 0.0, 0.0, 0.0, 0.9630000591278076, 0.28700000047683716, 0.0, 0.0]",0.5016667246818542,0.5966666340827942,0.42775,0.5393333333333333,0.5083333333333333,0.5703333333333334,"[null, 0.408, null, 0.222, null, null, 0.928, 0.375, null, null]",match_tensors_permute,runs_exp2d/seed0/population,True,63,54.8
be2e50e9,d8bd0bc0,3_6_7,4_5_7,"[0.0, 0.0, 0.0, 0.26100000739097595, 0.0, 0.0, 0.9020000696182251, 0.34200000762939453, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.6810000538825989, 0.64000004529953, 0.0, 0.12700000405311584, 0.0, 0.0]",0.5016667246818542,0.4826667010784149,0.3742,0.43666666666666665,0.4256666666666667,0.44766666666666666,"[null, null, null, 0.236, 0.44, 0.731, 0.869, 0.172, null, null]",match_tensors_permute,runs_exp2d/seed0/population,True,63,55.1
be2e50e9,e1762771,3_6_7,1_2_4,"[0.0, 0.0, 0.0, 0.26100000739097595, 0.0, 0.0, 0.9020000696182251, 0.34200000762939453, 0.0, 0.0]","[0.0, 0.5320000052452087, 0.11600000411272049, 0.0, 0.9160000681877136, 0.0, 0.0, 0.0, 0.0, 0.0]",0.5016667246818542,0.5213333964347839,0.277,0.4856666666666667,0.5076666666666667,0.46366666666666667,"[null, 0.355, 0.175, 0.326, 0.861, null, 0.851, 0.346, null, null]",match_tensors_permute,runs_exp2d/seed0/population,True,63,55.3
cb3a86af,d8bd0bc0,1_6_7,4_5_7,"[0.0, 0.5400000214576721, 0.0, 0.0, 0.0, 0.0, 0.9630000591278076, 0.28700000047683716, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.6810000538825989, 0.64000004529953, 0.0, 0.12700000405311584, 0.0, 0.0]",0.5966666340827942,0.4826667010784149,0.3382,0.472,0.4866666666666667,0.4573333333333333,"[null, 0.333, null, null, 0.362, 0.807, 0.924, 0.203, null, null]",match_tensors_permute,runs_exp2d/seed0/population,True,63,55.0
cb3a86af,e1762771,1_6_7,1_2_4,"[0.0, 0.5400000214576721, 0.0, 0.0, 0.0, 0.0, 0.9630000591278076, 0.28700000047683716, 0.0, 0.0]","[0.0, 0.5320000052452087, 0.11600000411272049, 0.0, 0.9160000681877136, 0.0, 0.0, 0.0, 0.0, 0.0]",0.5966666340827942,0.5213333964347839,0.3606,0.526,0.582,0.47,"[null, 0.411, 0.635, null, 0.364, null, 0.939, 0.396, null, null]",match_tensors_permute,runs_exp2d/seed0/population,True,63,55.1
d8bd0bc0,e1762771,4_5_7,1_2_4,"[0.0, 0.0, 0.0, 0.0, 0.6810000538825989, 0.64000004529953, 0.0, 0.12700000405311584, 0.0, 0.0]","[0.0, 0.5320000052452087, 0.11600000411272049, 0.0, 0.9160000681877136, 0.0, 0.0, 0.0, 0.0, 0.0]",0.4826667010784149,0.5213333964347839,0.3078,0.5075000000000001,0.556,0.459,"[null, 0.348, 0.229, null, 0.8, 0.754, null, 0.114, null, null]",match_tensors_permute,runs_exp2d/seed0/population,True,63,55.2
